Year,Month,Sector,Hydroelectric Power,Geothermal Energy,Solar Energy,Wind Energy,Wood Energy,Waste Energy,"Fuel Ethanol, Excluding Denaturant",Biomass Losses and Co-products,Biomass Energy,Total Renewable Energy,Renewable Diesel Fuel,Other Biofuels,Conventional Hydroelectric Power,Biodiesel
1973,1,Commerical,0,0,0,0,0.57,0,0,0,0.57,0.57,0,0,0,0
1973,1,Electric Power,0,0.49,0,0,0.054,0.157,0,0,0.211,89.223,0,0,88.522,0
1973,1,Industrial,1.04,0,0,0,98.933,0,0,0,98.933,99.973,0,0,0,0
1973,1,Residential,0,0,0,0,30.074,0,0,0,0,30.074,0,0,0,0
1973,1,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,2,Commerical,0,0,0,0,0.515,0,0,0,0.515,0.515,0,0,0,0
1973,2,Electric Power,0,0.448,0,0,0.157,0.144,0,0,0.301,79.331,0,0,78.582,0
1973,2,Industrial,0.962,0,0,0,89.359,0,0,0,89.359,90.32,0,0,0,0
1973,2,Residential,0,0,0,0,27.164,0,0,0,0,27.164,0,0,0,0
1973,2,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,3,Commerical,0,0,0,0,0.57,0,0,0,0.57,0.57,0,0,0,0
1973,3,Electric Power,0,0.464,0,0,0.186,0.176,0,0,0.362,88.046,0,0,87.22,0
1973,3,Industrial,1.064,0,0,0,98.933,0,0,0,98.933,99.997,0,0,0,0
1973,3,Residential,0,0,0,0,30.074,0,0,0,0,30.074,0,0,0,0
1973,3,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,4,Commerical,0,0,0,0,0.551,0,0,0,0.551,0.551,0,0,0,0
1973,4,Electric Power,0,0.542,0,0,0.066,0.174,0,0,0.24,82.917,0,0,82.136,0
1973,4,Industrial,1.016,0,0,0,95.741,0,0,0,95.741,96.758,0,0,0,0
1973,4,Residential,0,0,0,0,29.104,0,0,0,0,29.104,0,0,0,0
1973,4,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,5,Commerical,0,0,0,0,0.57,0,0,0,0.57,0.57,0,0,0,0
1973,5,Electric Power,0,0.505,0,0,0.048,0.21,0,0,0.258,85.357,0,0,84.594,0
1973,5,Industrial,1.049,0,0,0,98.933,0,0,0,98.933,99.981,0,0,0,0
1973,5,Residential,0,0,0,0,30.074,0,0,0,0,30.074,0,0,0,0
1973,5,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,6,Commerical,0,0,0,0,0.551,0,0,0,0.551,0.551,0,0,0,0
1973,6,Electric Power,0,0.579,0,0,0.039,0.176,0,0,0.214,81.835,0,0,81.042,0
1973,6,Industrial,1.018,0,0,0,95.741,0,0,0,95.741,96.759,0,0,0,0
1973,6,Residential,0,0,0,0,29.104,0,0,0,0,29.104,0,0,0,0
1973,6,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,7,Commerical,0,0,0,0,0.57,0,0,0,0.57,0.57,0,0,0,0
1973,7,Electric Power,0,0.614,0,0,0.04,0.17,0,0,0.21,77.317,0,0,76.493,0
1973,7,Industrial,0.906,0,0,0,98.933,0,0,0,98.933,99.839,0,0,0,0
1973,7,Residential,0,0,0,0,30.074,0,0,0,0,30.074,0,0,0,0
1973,7,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,8,Commerical,0,0,0,0,0.57,0,0,0,0.57,0.57,0,0,0,0
1973,8,Electric Power,0,0.579,0,0,0.157,0.184,0,0,0.341,72.98,0,0,72.06,0
1973,8,Industrial,0.875,0,0,0,98.933,0,0,0,98.933,99.808,0,0,0,0
1973,8,Residential,0,0,0,0,30.074,0,0,0,0,30.074,0,0,0,0
1973,8,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,9,Commerical,0,0,0,0,0.551,0,0,0,0.551,0.551,0,0,0,0
1973,9,Electric Power,0,0.49,0,0,0.207,0.178,0,0,0.385,59.14,0,0,58.265,0
1973,9,Industrial,0.764,0,0,0,95.741,0,0,0,95.741,96.505,0,0,0,0
1973,9,Residential,0,0,0,0,29.104,0,0,0,0,29.104,0,0,0,0
1973,9,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,10,Commerical,0,0,0,0,0.57,0,0,0,0.57,0.57,0,0,0,0
1973,10,Electric Power,0,0.578,0,0,0.193,0.2,0,0,0.393,63.106,0,0,62.134,0
1973,10,Industrial,0.832,0,0,0,98.933,0,0,0,98.933,99.765,0,0,0,0
1973,10,Residential,0,0,0,0,30.074,0,0,0,0,30.074,0,0,0,0
1973,10,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,11,Commerical,0,0,0,0,0.551,0,0,0,0.551,0.551,0,0,0,0
1973,11,Electric Power,0,0.62,0,0,0.095,0.151,0,0,0.246,69.053,0,0,68.186,0
1973,11,Industrial,0.876,0,0,0,95.741,0,0,0,95.741,96.618,0,0,0,0
1973,11,Residential,0,0,0,0,29.104,0,0,0,0,29.104,0,0,0,0
1973,11,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,12,Commerical,0,0,0,0,0.57,0,0,0,0.57,0.57,0,0,0,0
1973,12,Electric Power,0,0.8,0,0,0.113,0.135,0,0,0.248,90.161,0,0,89.113,0
1973,12,Industrial,1.018,0,0,0,98.933,0,0,0,98.933,99.951,0,0,0,0
1973,12,Residential,0,0,0,0,30.074,0,0,0,0,30.074,0,0,0,0
1973,12,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,1,Commerical,0,0,0,0,0.596,0,0,0,0.596,0.596,0,0,0,0
1974,1,Electric Power,0,0.704,0,0,0.111,0.152,0,0,0.263,99.441,0,0,98.474,0
1974,1,Industrial,1.026,0,0,0,98.442,0,0,0,98.442,99.467,0,0,0,0
1974,1,Residential,0,0,0,0,31.506,0,0,0,0,31.506,0,0,0,0
1974,1,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,2,Commerical,0,0,0,0,0.538,0,0,0,0.538,0.538,0,0,0,0
1974,2,Electric Power,0,0.621,0,0,0.039,0.142,0,0,0.181,91.341,0,0,90.539,0
1974,2,Industrial,0.937,0,0,0,88.915,0,0,0,88.915,89.852,0,0,0,0
1974,2,Residential,0,0,0,0,28.457,0,0,0,0,28.457,0,0,0,0
1974,2,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,3,Commerical,0,0,0,0,0.596,0,0,0,0.596,0.596,0,0,0,0
1974,3,Electric Power,0,0.707,0,0,0.036,0.148,0,0,0.184,94.837,0,0,93.946,0
1974,3,Industrial,1.004,0,0,0,98.442,0,0,0,98.442,99.446,0,0,0,0
1974,3,Residential,0,0,0,0,31.506,0,0,0,0,31.506,0,0,0,0
1974,3,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,4,Commerical,0,0,0,0,0.577,0,0,0,0.577,0.577,0,0,0,0
1974,4,Electric Power,0,0.666,0,0,0.108,0.142,0,0,0.25,95.894,0,0,94.977,0
1974,4,Industrial,0.992,0,0,0,95.266,0,0,0,95.266,96.258,0,0,0,0
1974,4,Residential,0,0,0,0,30.489,0,0,0,0,30.489,0,0,0,0
1974,4,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,5,Commerical,0,0,0,0,0.596,0,0,0,0.596,0.596,0,0,0,0
1974,5,Electric Power,0,0.667,0,0,0.116,0.129,0,0,0.245,96.226,0,0,95.314,0
1974,5,Industrial,1.023,0,0,0,98.442,0,0,0,98.442,99.465,0,0,0,0
1974,5,Residential,0,0,0,0,31.506,0,0,0,0,31.506,0,0,0,0
1974,5,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,6,Commerical,0,0,0,0,0.577,0,0,0,0.577,0.577,0,0,0,0
1974,6,Electric Power,0,0.645,0,0,0.1,0.179,0,0,0.279,91.69,0,0,90.766,0
1974,6,Industrial,0.953,0,0,0,95.266,0,0,0,95.266,96.219,0,0,0,0
1974,6,Residential,0,0,0,0,30.489,0,0,0,0,30.489,0,0,0,0
1974,6,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,7,Commerical,0,0,0,0,0.596,0,0,0,0.596,0.596,0,0,0,0
1974,7,Electric Power,0,0.716,0,0,0.005,0.208,0,0,0.213,90.494,0,0,89.566,0
1974,7,Industrial,0.871,0,0,0,98.442,0,0,0,98.442,99.313,0,0,0,0
1974,7,Residential,0,0,0,0,31.506,0,0,0,0,31.506,0,0,0,0
1974,7,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,8,Commerical,0,0,0,0,0.596,0,0,0,0.596,0.596,0,0,0,0
1974,8,Electric Power,0,0.707,0,0,0.031,0.189,0,0,0.22,82.834,0,0,81.907,0
1974,8,Industrial,0.819,0,0,0,98.442,0,0,0,98.442,99.261,0,0,0,0
1974,8,Residential,0,0,0,0,31.506,0,0,0,0,31.506,0,0,0,0
1974,8,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,9,Commerical,0,0,0,0,0.577,0,0,0,0.577,0.577,0,0,0,0
1974,9,Electric Power,0,0.653,0,0,0.121,0.183,0,0,0.305,73.787,0,0,72.829,0
1974,9,Industrial,0.781,0,0,0,95.266,0,0,0,95.266,96.047,0,0,0,0
1974,9,Residential,0,0,0,0,30.489,0,0,0,0,30.489,0,0,0,0
1974,9,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,10,Commerical,0,0,0,0,0.596,0,0,0,0.596,0.596,0,0,0,0
1974,10,Electric Power,0,0.663,0,0,0.018,0.156,0,0,0.174,69.027,0,0,68.189,0
1974,10,Industrial,0.742,0,0,0,98.442,0,0,0,98.442,99.184,0,0,0,0
1974,10,Residential,0,0,0,0,31.506,0,0,0,0,31.506,0,0,0,0
1974,10,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,11,Commerical,0,0,0,0,0.577,0,0,0,0.577,0.577,0,0,0,0
1974,11,Electric Power,0,0.789,0,0,0.019,0.155,0,0,0.174,72.963,0,0,72.0,0
1974,11,Industrial,0.773,0,0,0,95.266,0,0,0,95.266,96.039,0,0,0,0
1974,11,Residential,0,0,0,0,30.489,0,0,0,0,30.489,0,0,0,0
1974,11,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,12,Commerical,0,0,0,0,0.596,0,0,0,0.596,0.596,0,0,0,0
1974,12,Electric Power,0,0.83,0,0,0.011,0.119,0,0,0.13,79.573,0,0,78.613,0
1974,12,Industrial,0.929,0,0,0,98.442,0,0,0,98.442,99.371,0,0,0,0
1974,12,Residential,0,0,0,0,31.506,0,0,0,0,31.506,0,0,0,0
1974,12,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,1,Commerical,0,0,0,0,0.685,0,0,0,0.685,0.685,0,0,0,0
1975,1,Electric Power,0,0.694,0,0,0.008,0.14,0,0,0.148,86.181,0,0,85.339,0
1975,1,Industrial,1.017,0,0,0,90.305,0,0,0,90.305,91.322,0,0,0,0
1975,1,Residential,0,0,0,0,36.131,0,0,0,0,36.131,0,0,0,0
1975,1,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,2,Commerical,0,0,0,0,0.619,0,0,0,0.619,0.619,0,0,0,0
1975,2,Electric Power,0,0.662,0,0,0.011,0.113,0,0,0.124,82.284,0,0,81.498,0
1975,2,Industrial,0.905,0,0,0,81.566,0,0,0,81.566,82.471,0,0,0,0
1975,2,Residential,0,0,0,0,32.634,0,0,0,0,32.634,0,0,0,0
1975,2,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,3,Commerical,0,0,0,0,0.685,0,0,0,0.685,0.685,0,0,0,0
1975,3,Electric Power,0,0.747,0,0,0.006,0.124,0,0,0.13,96.311,0,0,95.434,0
1975,3,Industrial,0.952,0,0,0,90.305,0,0,0,90.305,91.257,0,0,0,0
1975,3,Residential,0,0,0,0,36.131,0,0,0,0,36.131,0,0,0,0
1975,3,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,4,Commerical,0,0,0,0,0.663,0,0,0,0.663,0.663,0,0,0,0
1975,4,Electric Power,0,0.748,0,0,0.002,0.117,0,0,0.119,91.709,0,0,90.842,0
1975,4,Industrial,0.949,0,0,0,87.392,0,0,0,87.392,88.341,0,0,0,0
1975,4,Residential,0,0,0,0,34.965,0,0,0,0,34.965,0,0,0,0
1975,4,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,5,Commerical,0,0,0,0,0.685,0,0,0,0.685,0.685,0,0,0,0
1975,5,Electric Power,0,0.812,0,0,0.009,0.173,0,0,0.182,95.552,0,0,94.558,0
1975,5,Industrial,1.023,0,0,0,90.305,0,0,0,90.305,91.328,0,0,0,0
1975,5,Residential,0,0,0,0,36.131,0,0,0,0,36.131,0,0,0,0
1975,5,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,6,Commerical,0,0,0,0,0.663,0,0,0,0.663,0.663,0,0,0,0
1975,6,Electric Power,0,1.007,0,0,0.028,0.193,0,0,0.221,93.839,0,0,92.611,0
1975,6,Industrial,0.938,0,0,0,87.392,0,0,0,87.392,88.331,0,0,0,0
1975,6,Residential,0,0,0,0,34.965,0,0,0,0,34.965,0,0,0,0
1975,6,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,7,Commerical,0,0,0,0,0.685,0,0,0,0.685,0.685,0,0,0,0
1975,7,Electric Power,0,1.013,0,0,0.004,0.163,0,0,0.167,88.26,0,0,87.08,0
1975,7,Industrial,0.821,0,0,0,90.305,0,0,0,90.305,91.126,0,0,0,0
1975,7,Residential,0,0,0,0,36.131,0,0,0,0,36.131,0,0,0,0
1975,7,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,8,Commerical,0,0,0,0,0.685,0,0,0,0.685,0.685,0,0,0,0
1975,8,Electric Power,0,1.099,0,0,0.016,0.185,0,0,0.2,78.452,0,0,77.153,0
1975,8,Industrial,0.739,0,0,0,90.305,0,0,0,90.305,91.044,0,0,0,0
1975,8,Residential,0,0,0,0,36.131,0,0,0,0,36.131,0,0,0,0
1975,8,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,9,Commerical,0,0,0,0,0.663,0,0,0,0.663,0.663,0,0,0,0
1975,9,Electric Power,0,0.969,0,0,0.032,0.158,0,0,0.19,71.17,0,0,70.012,0
1975,9,Industrial,0.744,0,0,0,87.392,0,0,0,87.392,88.136,0,0,0,0
1975,9,Residential,0,0,0,0,34.965,0,0,0,0,34.965,0,0,0,0
1975,9,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,10,Commerical,0,0,0,0,0.685,0,0,0,0.685,0.685,0,0,0,0
1975,10,Electric Power,0,1.117,0,0,0.03,0.161,0,0,0.192,78.552,0,0,77.244,0
1975,10,Industrial,0.816,0,0,0,90.305,0,0,0,90.305,91.121,0,0,0,0
1975,10,Residential,0,0,0,0,36.131,0,0,0,0,36.131,0,0,0,0
